'Flask	Vol@20C'
1	138.477
2	143.871
3	146.085
4	141.422
5	142.514
6	144.844
7	140.164
8	139.938
9	143.655
10	145.337
11	144.495
12	146.156
13	142.432
14	144.141
15	140.241
16	145.19
17	144.62
18	145.313
19	143.755
20	141.19
21	143.065
22	142.455
23	144.55
24	143.241
25	143.29
26	142.302
27	141.777
28	143.376
29	139.037
30	146.777
31	139.491
32	141.726
33	146.15
34	143.553
35	144.112
36	145.777
37	144.037
38	143.42
39	143.908
40	147.733
41	146.568
42	145.559
43	143.149
44	144.234
45	142.666
46	145.165
47	142.838
48	138.760
49	141.806
50	144.922
51	145.644
52	144.443
53	146.056
54	139.123
55	144.667
56	148.527
57	146.173
58	145.01
59	145.646
60	146.414
61	144.267
62	148.101
63	148.295
64	143.801
65	146.798
66	146.452
67	142.503
68	144.925
69	140.986
70	143.042
71	143.156
72	146.061
73	144.849
74	141.22
75	143.503
76	144.462
77	142.599
78	146.726
79	142.88
80	141.081
81	142.216
82	143.865
83	145.197
84	140.805
85	139.186
86	132.315
87	146.091
88	141.265
89	144.259
90	145.261
91	143.99
92	147.993
93	141.825
94	142.988
95	145.097
96	145.256
97	143.01
98	141.798
99	144.82
100	140.430
101	148.799
102	142.942
103	145.521
104	143.568
105	138.313
106	140.193
107	141.467
108	143.889
109	145.848
110	144.383
111	139.355
112	143.951
113	143.443
114	145.656
115	144.195
116	146.012
117	141.235
118	145.273
119	143.473
120	139.397
121	141.932
122	143.265
123	143.006
124	142.099
125	144.173
126	141.767
127	144.19
128	142.993
129	142.85
130	145.691
131	142.881
132	144.956
133	145.774
134	146.006
135	144.596
136	143.053
137	147.306
138	144.041
139	143.941
140	141.269
141	143.557
142	142.806
143	143.568
144	142.649
145	139.211
146	142.006
147	144.8
148	142.147
149	140.583
150	145.03
151	143.609
152	138.007
153	143.32
154	144.153
155	139.933
156	141.456
157	141.808
158	142.396
159	142.642
160	142.772
161	143.184
162	145.35
163	140.334
164	140.348
165	144.114
166	143.053
167	143.868
168	144.938
169	139.735
170	145.565
171	144.88
172	141.91
173	143.11
174	143.735
175	147.616
176	142.699
177	139.276
178	143.883
179	140.956
180	143.998
181	191.862
182	142.112
183	141.293
184	146.974
185	142.255
186	142.09
187	147.201
188	143.298
189	137.043
190	143.059
191	139.629
192	140.607
193	143.135
194	139.381
195	143.045
196	140.754
197	141.968
198	142.519
199	142.862
200	143.514
201	145.119
202	142.717
203	144.396
204	138.349
205	145.11
206	143.223
207	140.132
208	142.719
209	138.683
210	142.051
211	140.625
212	140.596
213	140.172
214	140.447
215	137.108
216	138.304
217	145.356
218	138.53
219	141.317
220	139.047
221	140.408
222	140.875
223	137.293
224	142.03
225	139.062
226	145.944
227	141.552
228	139.74
229	142.881
230	141.757
231	140.229
232	139.068
233	140.9
234	141.897
235	142.465
236	138.117
237	143.356
238	137.783
239	140.905
240	137.623
241	144.401
242	138.953
243	140.977
244	143.319
245	141.71
246	141.279
247	137.103
248	139.459
249	138.49
250	141.905
251	139.208
252	141.628
253	139.433
254	143.363
255	140.525
256	138.716
257	139.964
258	136.473
259	140.659
260	141.716
